tier,title,slug,url,date,categories,word_count,comments,note
TIER 1 (crown jewel),Crontab - Quick Reference,crontab-quick-reference,https://adminschoice.com/crontab-quick-reference/,2009-12-20,"Basics, Featured, Linux, Tips",2400,116,116 approved comments — strongest engagement on site
TIER 1 (crown jewel),ssh Without Password in Few Simple Steps,how-to-configure-ssh-without-password,https://adminschoice.com/how-to-configure-ssh-without-password/,2021-04-30,"Basics, Featured, Security, Tips",889,19,19 approved comments — strongest engagement on site
TIER 2 (core reference),RefDesk,refdesk,https://adminschoice.com/refdesk/,2009-12-01,Basics,143,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),Backup Commands in Linux & Unix with Usage and Examples,backup-commands-examples,https://adminschoice.com/backup-commands-examples/,2009-12-20,"Backup, Basics, Featured",1370,1,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),DNS Troubleshooting,dns-troubleshooting,https://adminschoice.com/dns-troubleshooting/,2009-12-20,"Basics, DNS, Featured, Tips",605,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),Domain Name Service,domain-name-service,https://adminschoice.com/domain-name-service/,2009-12-20,DNS,2851,1,"Long-form DNS reference, evergreen"
TIER 2 (core reference),Unix Commands Tutorial,unix-commands-tutorial,https://adminschoice.com/unix-commands-tutorial/,2009-12-20,"Basics, Featured, Tips",1249,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),Unix Tech Tips,unix-tech-tips,https://adminschoice.com/unix-tech-tips/,2009-12-20,"Basics, Tips",913,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),Unix Tutorial - Learn Unix OS Basics to get started,unix-for-beginer,https://adminschoice.com/unix-for-beginer/,2009-12-20,"Basics, Featured",1879,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),vi editor Quick Reference & Cheat Sheet,vi-editor-quick-reference,https://adminschoice.com/vi-editor-quick-reference/,2009-12-20,"Basics, Featured",847,4,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),Geek Speaks,geek-speaks,https://adminschoice.com/geek-speaks/,2009-12-29,Basics,605,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),Php Date Format,php-date-format,https://adminschoice.com/php-date-format/,2010-02-05,"Basics, Tips",943,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),Linux RPMs - All you need to know,linux-rpms-all-you-need-to-know,https://adminschoice.com/linux-rpms-all-you-need-to-know/,2011-04-28,Linux,599,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),Linux & Unix Date Format Examples,unix-date-format-examples,https://adminschoice.com/unix-date-format-examples/,2012-03-10,"Basics, Featured, Tips",676,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),What is Hadoop ? Facts you must know about Apache Hadoop,what-is-hadoop-facts-you-must-know-about-apache-hadoop,https://adminschoice.com/what-is-hadoop-facts-you-must-know-about-apache-hadoop/,2014-03-03,"Basics, Hadoop",798,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),cpio ( GNU ),cpio-gnu,https://adminschoice.com/cpio-gnu/,2014-03-09,Basics,679,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),HeartBleed bug : Frequently Asked questions,heartbleed-bug-frequently-asked-questions,https://adminschoice.com/heartbleed-bug-frequently-asked-questions/,2014-04-11,Security,372,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),Bash in Windows 10 : Ten Facts You Must Know,bash-in-windows-10-ten-facts-you-must-know,https://adminschoice.com/bash-in-windows-10-ten-facts-you-must-know/,2016-04-28,"Basics, Linux, Windows",354,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),fedora 24 : Top Features You Should Know,fedora-24-top-features-you-should-know,https://adminschoice.com/fedora-24-top-features-you-should-know/,2016-05-28,"Linux, News, Top 10, Top List",606,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),Application Monitoring,application-monitoring,https://adminschoice.com/application-monitoring/,2016-07-20,"Featured, Monitoring, Performance",2916,0,On-topic monitoring reference
TIER 2 (core reference),"awk Commands, Examples & Meaning",awk,https://adminschoice.com/awk/,2016-08-09,"Basics, Featured, Linux, Tips",1744,1,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),MongoDB Ransom Attacks Hit 27000 Systems,mongodb-ransom-attacks-hit-27000-systems,https://adminschoice.com/mongodb-ransom-attacks-hit-27000-systems/,2017-01-09,"News, Security",178,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),10 Must Have O'Reilly Linux and Unix Books,10-must-have-oreilly-books-for-system-administrators,https://adminschoice.com/10-must-have-oreilly-books-for-system-administrators/,2017-01-18,"Basics, Tips, Top 10, Top List",621,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),Top 10 Must have Books for Unix and Linux,top-10-must-have-books-for-unix-and-linux-administartors,https://adminschoice.com/top-10-must-have-books-for-unix-and-linux-administartors/,2017-01-21,"Basics, Top 10, Top List",860,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),Linux Download : Top 10 Free Linux Distributions for Desktop and Servers,download-linux-top-10-free-linux-distributions-for-desktop-and-servers,https://adminschoice.com/download-linux-top-10-free-linux-distributions-for-desktop-and-servers/,2017-01-24,"Basics, Top 10, Top List",580,2,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),man command in Linux and Unix,man-command-in-linux-and-unix,https://adminschoice.com/man-command-in-linux-and-unix/,2017-02-22,Basics,515,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),SHA-1 Collision - Insecurity of SHA-1 exposed by Google,sha-1-collision-insecurity-of-sha-1-is-exposed-by-google,https://adminschoice.com/sha-1-collision-insecurity-of-sha-1-is-exposed-by-google/,2017-02-25,Security,148,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),chmod Quick Referance with Examples,chmod-quick-referance-with-examples,https://adminschoice.com/chmod-quick-referance-with-examples/,2017-03-01,Basics,650,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),Linux PIE/stack corruption (CVE-2017-1000253) Bug and Security Vulnerability,linux-piestack-corruption-cve-2017-1000253-bug-and-security-vulnerability,https://adminschoice.com/linux-piestack-corruption-cve-2017-1000253-bug-and-security-vulnerability/,2017-10-02,Security,229,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),KRACK - Key Reinstallation Attacks on WPA2 Protocol,krack-key-reinstallation-attacks-on-wpa2-protocol,https://adminschoice.com/krack-key-reinstallation-attacks-on-wpa2-protocol/,2017-10-23,Security,678,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),How to Remove ^M in Linux &  Unix,how-to-remove-m-in-linux-unix,https://adminschoice.com/how-to-remove-m-in-linux-unix/,2018-01-25,"Basics, Tips, Windows",319,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),"Top 10 Bash Programming Guides, Reference  & Tools",top-10-bash-programming-guides-reference-tools,https://adminschoice.com/top-10-bash-programming-guides-reference-tools/,2018-02-07,"Basics, Linux, Top 10, Top List",690,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),The Top Security Breaches in History,the-top-security-breaches-in-history,https://adminschoice.com/the-top-security-breaches-in-history/,2018-11-27,"News, Security, Top 10, Top List, Trends",205,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),5 Things Slowing Down Your Internet Speed and What to Do about Them,5-things-slowing-down-your-internet-speed-and-what-to-do-about-them,https://adminschoice.com/5-things-slowing-down-your-internet-speed-and-what-to-do-about-them/,2019-01-25,"Network, Performance, Top List",1119,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),Getting Started With Python,getting-started-with-python,https://adminschoice.com/getting-started-with-python/,2019-01-29,Basics,17,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),Best Programming Languages to Study at College,best-programming-languages-to-study-at-college,https://adminschoice.com/best-programming-languages-to-study-at-college/,2019-03-25,Programming,1120,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),How to Start a Developer Career,how-to-start-a-developer-career,https://adminschoice.com/how-to-start-a-developer-career/,2019-04-09,Programming,919,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),You’re More Likely To Fall Victim to a Cyberattack Than a Home Invasion,youre-more-likely-to-fall-victim-to-a-cyberattack-than-a-home-invasion,https://adminschoice.com/youre-more-likely-to-fall-victim-to-a-cyberattack-than-a-home-invasion/,2019-04-12,Security,248,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),TLS vs SSL: What's the Difference ?,tls-vs-ssl-whats-the-difference,https://adminschoice.com/tls-vs-ssl-whats-the-difference/,2019-04-27,"Basics, Security, Technology",980,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),Bitcoin Miner Virus: How To Detect And Delete It,bitcoin-miner-virus-how-to-detect-and-delete-it,https://adminschoice.com/bitcoin-miner-virus-how-to-detect-and-delete-it/,2019-05-29,Security,561,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),8 Best Text Editors for Linux desktop,8-best-text-editors-for-linux-desktop,https://adminschoice.com/8-best-text-editors-for-linux-desktop/,2019-06-02,Linux,898,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),"Merger of Security & Compliance, what it Means for Cloud Developers",merger-of-security-compliance-what-it-means-for-cloud-developers,https://adminschoice.com/merger-of-security-compliance-what-it-means-for-cloud-developers/,2019-06-06,Security,743,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),Six Common Mistakes For Python Programmers To Avoid,six-common-mistakes-for-python-programmers-to-avoid,https://adminschoice.com/six-common-mistakes-for-python-programmers-to-avoid/,2019-07-24,"Basics, Programming",745,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),Identity Protection Online: A Simple Tip,identity-protection-online-a-simple-tip,https://adminschoice.com/identity-protection-online-a-simple-tip/,2019-07-31,Security,1083,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),Is Your Free VPN Putting Your Data at Risk?,is-your-free-vpn-putting-your-data-at-risk,https://adminschoice.com/is-your-free-vpn-putting-your-data-at-risk/,2019-08-20,Security,1038,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),Learn How To Obfuscate JavaScript with Node.js,learn-how-to-obfuscate-javascript-with-node-js,https://adminschoice.com/learn-how-to-obfuscate-javascript-with-node-js/,2019-08-23,"Programming, Security",698,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),Top 5 Reasons Why You Should Switch To Linux,top-5-reasons-why-you-should-switch-to-linux,https://adminschoice.com/top-5-reasons-why-you-should-switch-to-linux/,2019-08-23,Top List,700,0,On-topic; rewrite generic listicle into real content
TIER 2 (core reference),What can you do to secure your data in the cloud?,what-can-you-do-to-secure-your-data-in-the-cloud,https://adminschoice.com/what-can-you-do-to-secure-your-data-in-the-cloud/,2019-09-09,Security,655,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),Six Common Mistakes For JavaScript Programmers To Avoid,six-common-mistakes-for-javascript-programmers-to-avoid,https://adminschoice.com/six-common-mistakes-for-javascript-programmers-to-avoid/,2019-10-20,Programming,1058,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),"php redirect - How to, Examples, Issues & Solutions",php-redirect-how-to-examples-issues-solutions,https://adminschoice.com/php-redirect-how-to-examples-issues-solutions/,2020-02-23,Basics,778,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),Top 10 Programming Languages by Popularity,top-10-most-popular-programming-languages,https://adminschoice.com/top-10-most-popular-programming-languages/,2020-03-26,"Programming, Top 10, Top List",706,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),"git checkout remote branch - How to, Examples and Options",git-checkout-remote-branch,https://adminschoice.com/git-checkout-remote-branch/,2020-12-22,Basics,760,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),DNS Sinkhole Setup : Your defense against Bot net controllers,dns-sinkhole-setup-your-defense-against-bot-net-controllers,https://adminschoice.com/dns-sinkhole-setup-your-defense-against-bot-net-controllers/,2021-01-03,"DNS, Security",1372,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),Containers Vs VMs : Top 5 Differences you must know,containers-vs-vms-top-5-differences-you-must-know,https://adminschoice.com/containers-vs-vms-top-5-differences-you-must-know/,2021-01-11,"Linux, Technology, Top 10, Top List, Trends",378,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),Red Hat 7.x Installation : Step by Step Guide,red-hat-7-x-installation-step-by-step-guide,https://adminschoice.com/red-hat-7-x-installation-step-by-step-guide/,2021-01-15,Basics,1069,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),rmdir force in Linux ? - How to force remove Linux directories,rmdir-force-force-remove-linux-directories,https://adminschoice.com/rmdir-force-force-remove-linux-directories/,2021-01-19,Basics,308,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),"Bash Positional Parameters, Arguments",bash-positional-parameters,https://adminschoice.com/bash-positional-parameters/,2021-01-21,Basics,1024,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),find command : Top 14 Ways to find files in Unix and Linux,find-command-15-ways-to-find-files-in-unix-and-linux,https://adminschoice.com/find-command-15-ways-to-find-files-in-unix-and-linux/,2021-02-01,"Basics, Top List",1848,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),bash for loop Explained with Examples,bash-for-loop-explained-with-examples,https://adminschoice.com/bash-for-loop-explained-with-examples/,2021-02-21,Basics,882,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),vi editor cheat sheet in pdf format,vi-editor-cheat-sheet-in-pdf-format,https://adminschoice.com/vi-editor-cheat-sheet-in-pdf-format/,2021-06-18,Basics,106,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),netstat  - 10 Most common usage with examples,netstat-10-most-common-usage-with-examples,https://adminschoice.com/netstat-10-most-common-usage-with-examples/,2021-07-19,"Basics, Linux, Monitoring, Network, Performance, Security, Top 10, Top List",2491,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),"Strace Examples, Options & Usage",strace-examples-options-usage,https://adminschoice.com/strace-examples-options-usage/,2021-08-09,Basics,1343,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),Exit & Error Codes in bash and Linux OS,exit-error-codes-in-bash-and-linux-os,https://adminschoice.com/exit-error-codes-in-bash-and-linux-os/,2021-08-12,Basics,932,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),"iostat, vmstat, netstat - Performance Monitoring & Tuning in Unix & Linux",iostat-vmstat-netstat,https://adminschoice.com/iostat-vmstat-netstat/,2021-08-19,Performance,2205,2,Legit performance-tuning reference; has reader comments
TIER 2 (core reference),"ssh examples, usage, Options, protocol",ssh-examples-usage-options-protocol,https://adminschoice.com/ssh-examples-usage-options-protocol/,2021-08-20,"Basics, Security",940,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),What does  2>&1  mean in shell ?,what-does-21-mean-in-shell,https://adminschoice.com/what-does-21-mean-in-shell/,2021-09-01,Basics,408,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),75+ Crontab Examples for Real-World Tasks,crontab-examples,https://adminschoice.com/crontab-examples/,2021-09-02,Basics,3244,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),Why Linux is the Better Choice for the Digital Age,why-linux-is-the-better-choice-for-the-digital-age,https://adminschoice.com/why-linux-is-the-better-choice-for-the-digital-age/,2021-12-17,"Linux, Technology, Trends",682,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),Simple way to install Python in Windows 10 & 11,python-installation-in-windows-10-11,https://adminschoice.com/python-installation-in-windows-10-11/,2022-12-19,"Basics, Programming",62,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),3 very Easy ways to install python in Linux,python-installation-in-linux,https://adminschoice.com/python-installation-in-linux/,2022-12-22,"Basics, python for beginners",351,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),7 python Operators that you Must Know,7-python-operators-that-you-need-to-know,https://adminschoice.com/7-python-operators-that-you-need-to-know/,2022-12-22,Basics,636,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),python for data science - Top 10 python Libraries to elevate your skills,python-for-data-science-top-10-python-libraries-to-elevate-your-skills,https://adminschoice.com/python-for-data-science-top-10-python-libraries-to-elevate-your-skills/,2022-12-23,"Programming, python for beginners, Top 10, Top List, Trends",518,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),A Simple python Tutorial for beginners - get started now,a-simple-python-tutorial-for-beginners-get-started-now,https://adminschoice.com/a-simple-python-tutorial-for-beginners-get-started-now/,2022-12-26,"Basics, python for beginners",872,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),python Syntax - How to use pyhton for beginners,python-syntax-how-to-use-pyhton-for-beginners,https://adminschoice.com/python-syntax-how-to-use-pyhton-for-beginners/,2023-01-10,Basics,84,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),Cut the Manual Work With These 9 Incredibly Useful Python Libraries for Automation,cut-the-manual-work-with-these-9-incredibly-useful-python-libraries-for-automation,https://adminschoice.com/cut-the-manual-work-with-these-9-incredibly-useful-python-libraries-for-automation/,2023-01-11,Basics,708,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),"pip - How to Use pip, python Package Installer",pip-how-to-use-pip-python-package-installer,https://adminschoice.com/pip-how-to-use-pip-python-package-installer/,2023-01-18,Basics,208,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),python for loop - top 10 examples to get started now,python-for-loop-top-10-examples-to-get-started-now,https://adminschoice.com/python-for-loop-top-10-examples-to-get-started-now/,2023-01-30,Basics,135,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),7 Code Issues - SonarQube can detect,7-code-issues-sonarqube-can-detec,https://adminschoice.com/7-code-issues-sonarqube-can-detec/,2023-02-22,Basics,233,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),kubernetes Commands You must know,kubernetes-commands-you-must-know,https://adminschoice.com/kubernetes-commands-you-must-know/,2023-02-23,Basics,870,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),terraform vs kubernetes - Key Differences that set them apart,terraform-vs-kubernetes-key-differences,https://adminschoice.com/terraform-vs-kubernetes-key-differences/,2023-03-03,Basics,320,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),python sort() or sorted()- which one to chose for your program ?,python-sort-or-sorted-which-one-to-chose-for-your-program,https://adminschoice.com/python-sort-or-sorted-which-one-to-chose-for-your-program/,2023-10-01,Basics,550,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),What is Load Balancer and How it works ?,what-is-load-balancer-and-how-it-works,https://adminschoice.com/what-is-load-balancer-and-how-it-works/,2023-10-03,Basics,521,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),How does SSL work? All about SSL certificates and TLS certificates,how-does-ssl-work-all-about-ssl-certificates-and-tls-certificates,https://adminschoice.com/how-does-ssl-work-all-about-ssl-certificates-and-tls-certificates/,2023-10-06,Basics,599,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),Crontab Generator - easily create cron jobs in seconds,crontab-generator-easily-create-cron-jobs-in-seconds,https://adminschoice.com/crontab-generator-easily-create-cron-jobs-in-seconds/,2023-10-18,Basics,55,0,Evergreen Linux/Unix/shell reference
TIER 2 (core reference),"Chrome Tab Manager for DevOps: Find, Search, and Switch Open Tabs Instantly",chrome-tab-manager-for-devops-find-search-and-switch-open-tabs-instantly,https://adminschoice.com/chrome-tab-manager-for-devops-find-search-and-switch-open-tabs-instantly/,2026-06-16,Basics,214,0,Evergreen Linux/Unix/shell reference
TIER 3 (DevOps/Cloud),What is Cloud Computing in Simplest Terms,what-is-cloud-computing-in-simplest-terms,https://adminschoice.com/what-is-cloud-computing-in-simplest-terms/,2016-10-07,Cloud,965,0,"Modern content, fits new positioning"
TIER 3 (DevOps/Cloud),Free Docker Training for Beginners Intermediate & Advanced users,free-docker-training-for-beginners-intermediate-advanced-users,https://adminschoice.com/free-docker-training-for-beginners-intermediate-advanced-users/,2018-04-18,"Cloud, Technology",197,0,"Modern content, fits new positioning"
TIER 3 (DevOps/Cloud),Biggest Cloud Security Threats when Moving to Cloud in 2019,biggest-cloud-security-threats-when-moving-to-cloud-in-2019,https://adminschoice.com/biggest-cloud-security-threats-when-moving-to-cloud-in-2019/,2019-09-14,"Cloud, Security, Technology",1089,0,"Modern content, fits new positioning"
TIER 3 (DevOps/Cloud),Most Used Docker Command that You need to Know!,most-used-docker-command-that-you-need-to-know,https://adminschoice.com/most-used-docker-command-that-you-need-to-know/,2023-03-01,Basics,648,0,"Modern content, fits new positioning"
TIER 3 (DevOps/Cloud),Terraform - 7 Essential Commands for Managing Infrastructure,terraform-7-essential-commands-for-managing-infrastructure,https://adminschoice.com/terraform-7-essential-commands-for-managing-infrastructure/,2023-03-02,devOps,553,0,"Modern content, fits new positioning"
TIER 3 (DevOps/Cloud),Convert Nested JSON to CSV Online Free – Fast JSON to CSV Converter (Handles Arrays &amp; Large Files),convert-nested-json-to-csv-online-free-fast-json-to-csv-converter-handles-arrays-large-files,https://adminschoice.com/convert-nested-json-to-csv-online-free-fast-json-to-csv-converter-handles-arrays-large-files/,2026-05-04,Tools,534,0,"Your own indie tool, published May 2026"
TIER 3 (DevOps/Cloud),AWS Resource Types in Terraform – 25 Essential Examples You Can Copy and Use,aws-resource-types-in-terraform-25-essential-examples-you-can-copy-and-use,https://adminschoice.com/aws-resource-types-in-terraform-25-essential-examples-you-can-copy-and-use/,2026-06-15,devOps,1287,0,"Modern content, fits new positioning"
TIER 3 (DevOps/Cloud),The Definitive list of AWS Terraform resource types,the-definitive-list-of-aws-terraform-resource-types,https://adminschoice.com/the-definitive-list-of-aws-terraform-resource-types/,2026-06-15,devOps,571,0,"Modern content, fits new positioning"
TIER 3 (DevOps/Cloud),AWS Services Not Covered by Free Tier,aws-services-not-covered-by-free-tier,https://adminschoice.com/aws-services-not-covered-by-free-tier/,2026-06-16,"Cloud, devOps",437,0,"Modern content, fits new positioning"
TIER 4 (Solaris legacy),Solaris  Error messages E-K,solaris-error-messages-e-k,https://adminschoice.com/solaris-error-messages-e-k/,2009-12-20,Errors,4338,0,One of four error-message posts to merge into a single page
TIER 4 (Solaris legacy),Solaris Error Messages A-D,solaris-error-messages-a-d,https://adminschoice.com/solaris-error-messages-a-d/,2009-12-20,"Basics, Errors",5627,1,One of four error-message posts to merge into a single page
TIER 4 (Solaris legacy),Solaris Error Messages O-S,solaris-error-messages-o-s,https://adminschoice.com/solaris-error-messages-o-s/,2009-12-20,Errors,3862,0,One of four error-message posts to merge into a single page
TIER 4 (Solaris legacy),Solaris Error Messages T-Z,solaris-error-messages-t-z,https://adminschoice.com/solaris-error-messages-t-z/,2009-12-20,Errors,4872,0,One of four error-message posts to merge into a single page
TIER 4 (Solaris/legacy Unix),Veritas Volume Manager - vxdiskadm,veritas-volume-manager-vxdiskadm,https://adminschoice.com/veritas-volume-manager-vxdiskadm/,2009-12-03,Volumes,5158,0,Niche but has backlink history
TIER 4 (Solaris/legacy Unix),Managing Sun OpenBoot Parameters and commands,sun-openboot-parameters-and-commands,https://adminschoice.com/sun-openboot-parameters-and-commands/,2009-12-16,"Basics, Boot, Install",1021,1,Niche but has backlink history
TIER 4 (Solaris/legacy Unix),Booting Problems & Solutions in Solaris,booting-problems-in-solaris,https://adminschoice.com/booting-problems-in-solaris/,2009-12-20,"Boot, Install",721,0,Niche but has backlink history
TIER 4 (Solaris/legacy Unix),Booting Process in Solaris,booting-process-in-solaris,https://adminschoice.com/booting-process-in-solaris/,2009-12-20,"Basics, Boot",941,0,Niche but has backlink history
TIER 4 (Solaris/legacy Unix),Securing Solaris,securing-solaris,https://adminschoice.com/securing-solaris/,2009-12-20,Security,1400,0,Niche but has backlink history
TIER 4 (Solaris/legacy Unix),Solaris Installation,solaris-installation,https://adminschoice.com/solaris-installation/,2009-12-20,"Basics, Install",1165,0,Niche but has backlink history
TIER 4 (Solaris/legacy Unix),Solaris Jumpstart - Howto guide,solaris-jumpstart-howto-guide,https://adminschoice.com/solaris-jumpstart-howto-guide/,2009-12-20,Install,1224,0,Niche but has backlink history
TIER 4 (Solaris/legacy Unix),Solaris error messages L-N,solaris-error-messages-l-n,https://adminschoice.com/solaris-error-messages-l-n/,2009-12-20,Errors,6047,0,Niche but has backlink history
TIER 4 (Solaris/legacy Unix),Veritas Volume Manager - vxassist,veritas-volume-manager-vxassist,https://adminschoice.com/veritas-volume-manager-vxassist/,2009-12-20,Volumes,2104,0,Niche but has backlink history
TIER 4 (Solaris/legacy Unix),fsck Command - Check & Repair Linux & Unix File Systems,repairing-unix-file-system-fsck,https://adminschoice.com/repairing-unix-file-system-fsck/,2009-12-20,"Basics, Featured, File system, Performance, Tips",6952,2,Niche but has backlink history
TIER 4 (Solaris/legacy Unix),NISplus Installation & Administration,nisplus-installation-administration,https://adminschoice.com/nisplus-installation-administration/,2009-12-29,NIS,1021,0,Niche but legitimate sysadmin topic
TIER 4 (Solaris/legacy Unix),Solstice DiskSuite - Admin's Guide,solstice-disksuite-guide,https://adminschoice.com/solstice-disksuite-guide/,2009-12-29,Volumes,3306,0,Niche but has backlink history
TIER 4 (Solaris/legacy Unix),Solaris Network Configuration,solaris-network-configuration,https://adminschoice.com/solaris-network-configuration/,2017-01-29,Network,1858,0,Niche but has backlink history
TIER 4 (Solaris/legacy Unix),"Changing up ethernet speed, duplex mode in Solaris",changing-ethernet-speed-duplex-mode-in-solaris,https://adminschoice.com/changing-ethernet-speed-duplex-mode-in-solaris/,2018-03-24,Network,296,0,Niche but has backlink history
TIER 4 (Solaris/legacy Unix),"fsck Messages, Meaning and Solutions",fsck-messages-meaning-and-solutions,https://adminschoice.com/fsck-messages-meaning-and-solutions/,2020-03-06,"Basics, File system",5760,0,Niche but has backlink history
